player_game_num_career,date,pts,blk,orb,drb,ast,stl,tov,fg3,fg,ft
43.0,2024-05-06,43.0,1.0,1.0,5.0,6.0,0.0,4.0,1.0,14.0,14.0
44.0,2024-05-08,29.0,0.0,0.0,2.0,5.0,3.0,2.0,3.0,11.0,4.0
45.0,2024-05-10,26.0,0.0,0.0,0.0,6.0,1.0,5.0,2.0,10.0,4.0
46.0,2024-05-12,18.0,0.0,2.0,1.0,5.0,2.0,2.0,0.0,6.0,6.0
47.0,2024-05-14,44.0,0.0,0.0,4.0,7.0,0.0,3.0,2.0,18.0,6.0
48.0,2024-05-17,31.0,0.0,0.0,1.0,5.0,0.0,1.0,3.0,11.0,6.0
49.0,2024-05-19,17.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,6.0,4.0
50.0,2025-04-19,34.0,0.0,0.0,2.0,8.0,0.0,1.0,2.0,12.0,8.0
51.0,2025-04-21,37.0,0.0,1.0,2.0,7.0,2.0,6.0,4.0,12.0,9.0
52.0,2025-04-24,30.0,1.0,0.0,7.0,9.0,0.0,1.0,1.0,9.0,11.0
53.0,2025-04-27,32.0,1.0,3.0,2.0,11.0,0.0,2.0,4.0,13.0,2.0
54.0,2025-04-29,16.0,0.0,1.0,2.0,7.0,0.0,4.0,1.0,4.0,7.0
55.0,2025-05-01,40.0,0.0,2.0,2.0,7.0,0.0,2.0,3.0,15.0,7.0
56.0,2025-05-05,29.0,0.0,1.0,3.0,5.0,2.0,4.0,5.0,9.0,6.0
57.0,2025-05-07,17.0,1.0,0.0,3.0,7.0,0.0,2.0,2.0,6.0,3.0
58.0,2025-05-10,27.0,0.0,1.0,3.0,7.0,1.0,4.0,3.0,9.0,6.0
59.0,2025-05-12,39.0,0.0,1.0,4.0,12.0,0.0,1.0,4.0,14.0,7.0
60.0,2025-05-14,22.0,0.0,1.0,0.0,6.0,0.0,2.0,1.0,7.0,7.0
